"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"63721704","cori haswell","regular_hsw","regular_1","2022-11-11 20:35:58","2022-11-12 23:14:21","2022-11-12 23:59:59","2738","16","12.168888888888889"
"63721704","cori haswell","regular_hsw","regular_1","2022-11-11 20:35:58","2022-11-13 00:00:00","2022-11-13 00:41:52","2512","16","11.164444444444445"
"64237576","cori haswell","interactive","interactive","2022-11-10 22:00:06","2022-11-10 22:00:06","2022-11-10 22:00:38","32","1","0.008888888888888889"
"64237577","cori haswell","regular_hsw","flex","2022-11-10 22:00:12","2022-11-11 19:56:35","2022-11-11 20:27:05","1830","4","2.033333333333333"
"64237586","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:00:16","2022-11-10 22:00:17","2022-11-10 22:00:54","37","32","0.3288888888888889"
"64237587","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:00:32","2022-11-10 22:30:53","2022-11-10 22:37:10","377","32","3.351111111111111"
"64237588","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:00:38","2022-11-10 22:00:40","2022-11-10 22:01:16","36","32","0.32"
"64237589","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-10 22:00:43","2022-11-10 22:01:10","2022-11-10 22:03:04","114","1","0.003958333333333334"
"64237590","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:00:56","2022-11-10 22:00:56","2022-11-10 22:01:40","44","32","0.39111111111111113"
"64237591","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:01:19","2022-11-10 22:01:21","2022-11-10 22:01:57","36","32","0.32"
"64237592","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:01:37","2022-11-10 22:33:45","2022-11-10 22:37:12","207","32","1.84"
"64237593","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:01:42","2022-11-10 22:01:45","2022-11-10 22:02:21","36","32","0.32"
"64237594","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:01:57","2022-11-10 22:02:02","2022-11-10 22:02:47","45","32","0.4"
"64237617","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:02:23","2022-11-10 22:02:24","2022-11-10 22:02:25","1","32","0.008888888888888889"
"64237618","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:02:26","2022-11-10 22:02:26","2022-11-10 22:02:59","33","32","0.29333333333333333"
"64237619","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:02:49","2022-11-10 22:02:52","2022-11-10 22:03:34","42","32","0.37333333333333335"
"64237620","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:03:02","2022-11-10 22:03:02","2022-11-10 22:03:39","37","32","0.3288888888888889"
"64237623","cori haswell","regular_hsw","flex","2022-11-10 22:03:14","2022-11-11 19:56:35","2022-11-11 20:27:05","1830","4","2.033333333333333"
"64237624","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:03:29","2022-11-10 22:05:50","2022-11-10 22:05:57","7","1","0.00012152777777777777"
"64237625","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:03:34","2022-11-10 22:03:36","2022-11-10 22:04:09","33","32","0.29333333333333333"
"64237626","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:03:39","2022-11-10 22:03:41","2022-11-10 22:03:45","4","1","0.0011111111111111111"
"64237627","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:03:45","2022-11-10 22:03:47","2022-11-10 22:03:50","3","1","0.0008333333333333334"
"64237628","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:03:50","2022-11-10 22:03:52","2022-11-10 22:04:14","22","1","0.006111111111111111"
"64237629","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:04:09","2022-11-10 22:04:11","2022-11-10 22:04:34","23","1","0.006388888888888889"
"64237635","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:04:16","2022-11-10 22:04:17","2022-11-10 22:05:01","44","1","0.012222222222222223"
"64237637","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-10 22:05:08","2022-11-10 22:05:11","2022-11-10 22:06:19","68","1","0.0005902777777777778"
