"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"64130766_1428","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 15:51:33","45013","1","0.3907378472222222"
"64130766_1429","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 15:46:31","44711","1","0.38811631944444447"
"64130766_1430","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 15:39:36","44296","1","0.3845138888888889"
"64130766_1431","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 15:45:49","44669","1","0.38775173611111113"
"64130766_1432","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 16:04:55","45815","1","0.3976996527777778"
"64130766_1433","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 16:06:44","45924","1","0.3986458333333333"
"64130766_1434","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 16:05:45","45865","1","0.39813368055555554"
"64130766_1435","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 16:13:11","46311","1","0.4020052083333333"
"64130766_1436","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:20","2022-11-15 15:52:40","45080","1","0.39131944444444444"
"64130766_1437","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 15:58:34","45434","1","0.3943923611111111"
"64130766_1438","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 16:06:42","45922","1","0.3986284722222222"
"64130766_1439","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 16:12:26","46266","1","0.40161458333333333"
"64130766_1440","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 16:00:38","45558","1","0.39546875"
"64130766_1441","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 15:47:20","44760","1","0.3885416666666667"
"64130766_1442","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:20","2022-11-15 15:52:51","45091","1","0.39141493055555554"
"64130766_1443","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:20","2022-11-15 15:42:52","44492","1","0.38621527777777775"
"64130766_1444","cori haswell","shared","shared","2022-11-07 10:44:05","2022-11-15 03:21:20","2022-11-15 15:50:44","44964","1","0.3903125"
"64130766_1445","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:20","2022-11-15 15:47:37","44777","1","0.3886892361111111"
"64130766_1446","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:20","2022-11-15 15:45:23","44643","1","0.38752604166666665"
"64130766_1447","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:20","2022-11-15 15:56:07","45287","1","0.3931163194444444"
"64130766_1448","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:21","2022-11-15 16:14:20","46379","1","0.4025954861111111"
"64130766_1449","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:21","2022-11-15 16:13:29","46328","1","0.4021527777777778"
"64130766_1450","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:21","2022-11-15 16:13:59","46358","1","0.40241319444444446"
"64130766_1451","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:21","2022-11-15 16:14:27","46386","1","0.40265625"
"64130766_1452","cori haswell","shared","shared","2022-11-07 10:44:07","2022-11-15 03:21:21","2022-11-15 17:21:49","50428","1","0.43774305555555554"
"64133669","cori haswell","genepool","jgi_special_fungalp","2022-11-07 10:00:00","2022-11-07 10:00:43","2022-11-07 10:01:30","47","1","0.013055555555555556"
"64133670","cori haswell","genepool","jgi_special_fungalp","2022-11-07 10:00:03","2022-11-07 10:00:43","2022-11-07 10:01:30","47","1","0.013055555555555556"
"64133671","cori haswell","interactive","interactive","2022-11-07 10:00:05","2022-11-07 10:00:05","2022-11-07 10:00:19","14","1","0.0038888888888888888"
"64133673","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:00:17","2022-11-07 10:14:05","2022-11-07 10:14:17","12","2","0.006666666666666667"
"64133674","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:00:32","2022-11-07 10:00:43","2022-11-07 17:24:32","26629","1","1.849236111111111"
"64133675","cori haswell","shared","shared","2022-11-07 10:00:41","2022-11-07 10:02:44","2022-11-07 10:05:02","138","1","0.0011979166666666666"
"64133677","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:00:58","2022-11-07 10:01:41","2022-11-07 16:31:11","23370","1","1.6229166666666666"
"64133686","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:01:08","2022-11-07 10:01:41","2022-11-07 10:02:38","57","1","0.001979166666666667"
"64133687","cori haswell","regular_hsw","premium","2022-11-07 10:01:13","2022-11-07 10:03:17","2022-11-07 10:03:20","3","8","0.006666666666666667"
"64133688","cori haswell","realtime","realtime_m2218","2022-11-07 10:01:25","2022-11-07 10:01:28","2022-11-07 10:15:52","864","1","0.24"
"64133689","cori haswell","shared","shared","2022-11-07 10:01:35","2022-11-07 10:02:44","2022-11-07 10:03:29","45","1","0.000390625"
"64133690","cori haswell","shared","shared","2022-11-07 10:01:38","2022-11-07 10:07:48","2022-11-07 10:08:18","30","1","0.00026041666666666666"
"64133691","cori haswell","shared","shared","2022-11-07 10:01:39","2022-11-07 10:07:48","2022-11-07 10:08:52","64","1","0.0005555555555555556"
"64133693","cori haswell","shared","shared","2022-11-07 10:01:47","2022-11-07 10:12:51","2022-11-07 10:14:20","89","1","0.0007725694444444444"
"64133695","cori haswell","shared","shared","2022-11-07 10:01:48","2022-11-07 10:12:51","2022-11-07 10:14:25","94","1","0.0008159722222222223"
"64133697","cori haswell","shared","shared","2022-11-07 10:01:50","2022-11-07 10:17:51","2022-11-07 10:18:03","12","1","0.00010416666666666667"
"64133698","cori haswell","shared","shared","2022-11-07 10:01:50","2022-11-07 10:17:51","2022-11-07 10:19:05","74","1","0.0006423611111111111"
"64133699","cori haswell","shared","shared","2022-11-07 10:01:52","2022-11-07 10:22:54","2022-11-07 10:23:47","53","1","0.0004600694444444444"
"64133700","cori haswell","shared","shared","2022-11-07 10:01:55","2022-11-07 10:22:54","2022-11-07 10:23:03","9","1","0.000078125"
"64133701","cori haswell","interactive","interactive","2022-11-07 10:01:58","2022-11-07 10:01:58","2022-11-07 12:03:24","7286","1","2.023888888888889"
"64133702","cori haswell","shared","shared","2022-11-07 10:01:58","2022-11-07 10:27:56","2022-11-07 10:28:06","10","1","0.00008680555555555556"
"64133703","cori haswell","shared","shared","2022-11-07 10:02:01","2022-11-07 10:27:56","2022-11-07 10:28:06","10","1","0.00008680555555555556"
"64133704","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:02:01","2022-11-07 10:18:31","2022-11-07 10:48:46","1815","36","18.15"
"64133705","cori haswell","shared","shared","2022-11-07 10:02:01","2022-11-07 11:08:17","2022-11-07 11:08:28","11","1","0.00009548611111111112"
"64133706","cori haswell","shared","shared","2022-11-07 10:02:03","2022-11-07 11:08:17","2022-11-07 11:09:17","60","1","0.0005208333333333333"
"64133707","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:02:03","2022-11-07 10:18:54","2022-11-07 10:36:11","1037","16","4.608888888888889"
"64133708","cori haswell","shared","shared","2022-11-07 10:02:04","2022-11-07 11:12:43","2022-11-07 11:13:28","45","1","0.000390625"
"64133709","cori haswell","genepool","jgi_special_fungalp","2022-11-07 10:02:06","2022-11-07 10:02:43","2022-11-07 10:03:11","28","1","0.0077777777777777776"
"64133710","cori haswell","shared","shared","2022-11-07 10:02:06","2022-11-07 11:17:27","2022-11-07 11:18:09","42","1","0.00036458333333333335"
"64133711","cori haswell","shared","shared","2022-11-07 10:02:08","2022-11-07 11:17:27","2022-11-07 11:18:57","90","1","0.00078125"
"64133712","cori haswell","shared","shared","2022-11-07 10:02:08","2022-11-07 11:22:27","2022-11-07 11:23:15","48","1","0.0004166666666666667"
"64133713","cori haswell","shared","shared","2022-11-07 10:02:08","2022-11-07 11:22:27","2022-11-07 11:22:44","17","1","0.00014756944444444445"
"64133714","cori haswell","shared","shared","2022-11-07 10:02:11","2022-11-07 11:27:31","2022-11-07 11:28:18","47","1","0.00040798611111111114"
"64133715","cori haswell","shared","shared","2022-11-07 10:02:11","2022-11-07 11:27:32","2022-11-07 11:28:18","46","1","0.0003993055555555556"
"64133716","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:02:13","2022-11-07 10:02:43","2022-11-07 10:03:00","17","1","0.0005902777777777778"
"64133717","cori haswell","shared","shared","2022-11-07 10:02:13","2022-11-07 11:28:41","2022-11-07 11:29:11","30","1","0.00026041666666666666"
