"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"3116147","perlmutter cpu","cron","cron","2022-11-06 22:00:24","2022-11-06 22:05:12","2022-11-06 22:10:24","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-06 22:10:25","2022-11-06 22:15:14","2022-11-06 22:20:29","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-06 22:20:31","2022-11-06 22:25:30","2022-11-06 22:30:44","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-06 22:30:45","2022-11-06 22:35:12","2022-11-06 22:40:26","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-06 22:40:29","2022-11-06 22:45:23","2022-11-06 22:50:33","310","1","0.0006727430555555556"
"3116147","perlmutter cpu","cron","cron","2022-11-06 22:50:34","2022-11-06 22:55:06","2022-11-06 23:00:20","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-06 23:00:23","2022-11-06 23:05:11","2022-11-06 23:10:26","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-06 23:10:28","2022-11-06 23:15:01","2022-11-06 23:20:15","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-06 23:20:17","2022-11-06 23:25:03","2022-11-06 23:30:16","313","1","0.0006792534722222223"
"3116147","perlmutter cpu","cron","cron","2022-11-06 23:30:18","2022-11-06 23:35:00","2022-11-06 23:40:12","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-06 23:40:14","2022-11-06 23:45:03","2022-11-06 23:50:16","313","1","0.0006792534722222223"
"3116147","perlmutter cpu","cron","cron","2022-11-06 23:50:18","2022-11-06 23:55:02","2022-11-06 23:59:59","297","1","0.00064453125"
"3116147","perlmutter cpu","cron","cron","2022-11-06 23:50:18","2022-11-07 00:00:00","2022-11-07 00:00:14","14","1","0.000030381944444444444"
"3116147","perlmutter cpu","cron","cron","2022-11-07 00:00:17","2022-11-07 00:05:06","2022-11-07 00:10:18","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-07 00:10:20","2022-11-07 00:15:00","2022-11-07 00:20:15","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-07 00:20:18","2022-11-07 00:25:03","2022-11-07 00:30:19","316","1","0.0006857638888888889"
"3116147","perlmutter cpu","cron","cron","2022-11-07 00:30:20","2022-11-07 00:35:02","2022-11-07 00:41:18","376","1","0.0008159722222222223"
"3116147","perlmutter cpu","cron","cron","2022-11-07 00:41:20","2022-11-07 00:45:10","2022-11-07 00:50:25","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-07 00:50:27","2022-11-07 00:55:04","2022-11-07 01:00:18","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 01:00:21","2022-11-07 01:05:02","2022-11-07 01:10:13","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 01:10:16","2022-11-07 01:15:05","2022-11-07 01:20:16","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 01:20:18","2022-11-07 01:25:04","2022-11-07 01:30:15","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 01:30:17","2022-11-07 01:35:06","2022-11-07 01:40:20","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 01:40:22","2022-11-07 01:45:22","2022-11-07 01:50:33","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 01:50:35","2022-11-07 01:55:09","2022-11-07 02:00:24","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-07 02:00:26","2022-11-07 02:05:08","2022-11-07 02:10:19","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 02:10:21","2022-11-07 02:15:17","2022-11-07 02:20:31","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 02:20:33","2022-11-07 02:25:07","2022-11-07 02:30:17","310","1","0.0006727430555555556"
"3116147","perlmutter cpu","cron","cron","2022-11-07 02:30:19","2022-11-07 02:35:19","2022-11-07 02:40:28","309","1","0.0006705729166666666"
"3116147","perlmutter cpu","cron","cron","2022-11-07 02:40:31","2022-11-07 02:45:04","2022-11-07 02:50:15","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 02:50:17","2022-11-07 02:55:00","2022-11-07 03:00:09","309","1","0.0006705729166666666"
"3116147","perlmutter cpu","cron","cron","2022-11-07 03:00:12","2022-11-07 03:05:14","2022-11-07 03:10:22","308","1","0.0006684027777777777"
"3116147","perlmutter cpu","cron","cron","2022-11-07 03:10:23","2022-11-07 03:15:23","2022-11-07 03:20:34","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 03:20:36","2022-11-07 03:25:25","2022-11-07 03:30:39","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 03:30:40","2022-11-07 03:35:04","2022-11-07 03:40:17","313","1","0.0006792534722222223"
"3116147","perlmutter cpu","cron","cron","2022-11-07 03:40:20","2022-11-07 03:45:12","2022-11-07 03:50:23","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 03:50:25","2022-11-07 03:55:01","2022-11-07 04:01:03","362","1","0.0007855902777777777"
"3116147","perlmutter cpu","cron","cron","2022-11-07 04:01:04","2022-11-07 04:05:19","2022-11-07 04:12:04","405","1","0.00087890625"
"3116147","perlmutter cpu","cron","cron","2022-11-07 04:12:05","2022-11-07 04:15:21","2022-11-07 04:20:35","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 04:20:37","2022-11-07 04:25:06","2022-11-07 04:30:20","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 04:30:24","2022-11-07 04:35:09","2022-11-07 04:40:36","327","1","0.0007096354166666667"
"3116147","perlmutter cpu","cron","cron","2022-11-07 04:40:38","2022-11-07 04:45:00","2022-11-07 04:50:13","313","1","0.0006792534722222223"
"3116147","perlmutter cpu","cron","cron","2022-11-07 04:50:15","2022-11-07 04:55:24","2022-11-07 05:00:35","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 05:00:37","2022-11-07 05:05:25","2022-11-07 05:10:35","310","1","0.0006727430555555556"
"3116147","perlmutter cpu","cron","cron","2022-11-07 05:10:37","2022-11-07 05:15:08","2022-11-07 05:21:18","370","1","0.0008029513888888889"
"3116147","perlmutter cpu","cron","cron","2022-11-07 05:21:20","2022-11-07 05:25:20","2022-11-07 05:30:49","329","1","0.0007139756944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 05:30:50","2022-11-07 05:35:02","2022-11-07 05:40:17","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-07 05:40:19","2022-11-07 05:45:04","2022-11-07 05:50:22","318","1","0.0006901041666666667"
"3116147","perlmutter cpu","cron","cron","2022-11-07 05:50:24","2022-11-07 05:55:05","2022-11-07 06:00:17","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-07 06:00:18","2022-11-07 06:05:30","2022-11-07 06:10:41","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 06:10:43","2022-11-07 06:15:07","2022-11-07 06:20:22","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-07 06:20:24","2022-11-07 06:25:08","2022-11-07 06:30:22","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 06:30:23","2022-11-07 06:35:00","2022-11-07 06:40:14","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 06:40:15","2022-11-07 06:45:02","2022-11-07 06:50:16","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 06:50:17","2022-11-07 06:55:01","2022-11-07 07:00:16","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-07 07:00:18","2022-11-07 07:05:03","2022-11-07 07:10:17","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 07:10:21","2022-11-07 07:15:06","2022-11-07 07:20:18","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-07 07:20:20","2022-11-07 07:25:05","2022-11-07 07:30:15","310","1","0.0006727430555555556"
"3116147","perlmutter cpu","cron","cron","2022-11-07 07:30:17","2022-11-07 07:35:09","2022-11-07 07:40:19","310","1","0.0006727430555555556"
"3116147","perlmutter cpu","cron","cron","2022-11-07 07:40:20","2022-11-07 07:45:02","2022-11-07 07:50:14","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-07 07:50:16","2022-11-07 07:55:16","2022-11-07 08:00:22","306","1","0.0006640625"
"3116147","perlmutter cpu","cron","cron","2022-11-07 08:00:26","2022-11-07 08:05:10","2022-11-07 08:10:26","316","1","0.0006857638888888889"
"3116147","perlmutter cpu","cron","cron","2022-11-07 08:10:29","2022-11-07 08:15:16","2022-11-07 08:20:27","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 08:20:30","2022-11-07 08:25:17","2022-11-07 08:31:03","346","1","0.0007508680555555555"
"3116147","perlmutter cpu","cron","cron","2022-11-07 08:31:05","2022-11-07 08:35:18","2022-11-07 08:40:32","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 08:40:34","2022-11-07 08:45:19","2022-11-07 08:50:34","315","1","0.00068359375"
"3116147","perlmutter cpu","cron","cron","2022-11-07 08:50:36","2022-11-07 08:55:16","2022-11-07 09:00:30","314","1","0.0006814236111111112"
"3116147","perlmutter cpu","cron","cron","2022-11-07 09:00:31","2022-11-07 09:05:06","2022-11-07 09:10:19","313","1","0.0006792534722222223"
"3116147","perlmutter cpu","cron","cron","2022-11-07 09:10:21","2022-11-07 09:15:08","2022-11-07 09:20:19","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 09:20:20","2022-11-07 09:25:09","2022-11-07 09:30:18","309","1","0.0006705729166666666"
"3116147","perlmutter cpu","cron","cron","2022-11-07 09:30:20","2022-11-07 09:35:10","2022-11-07 09:40:21","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 09:40:24","2022-11-07 09:45:10","2022-11-07 09:50:21","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 09:50:23","2022-11-07 09:55:12","2022-11-07 10:00:24","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-07 10:00:28","2022-11-07 10:05:07","2022-11-07 10:10:15","308","1","0.0006684027777777777"
"3116147","perlmutter cpu","cron","cron","2022-11-07 10:10:17","2022-11-07 10:15:05","2022-11-07 10:20:15","310","1","0.0006727430555555556"
"3116147","perlmutter cpu","cron","cron","2022-11-07 10:20:16","2022-11-07 10:25:28","2022-11-07 10:30:39","311","1","0.0006749131944444445"
"3116147","perlmutter cpu","cron","cron","2022-11-07 10:30:41","2022-11-07 10:35:28","2022-11-07 10:40:38","310","1","0.0006727430555555556"
"3116147","perlmutter cpu","cron","cron","2022-11-07 10:40:40","2022-11-07 10:45:06","2022-11-07 10:50:18","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-07 10:50:20","2022-11-07 10:55:17","2022-11-07 11:00:29","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-07 11:00:31","2022-11-07 11:05:11","2022-11-07 11:10:23","312","1","0.0006770833333333334"
"3116147","perlmutter cpu","cron","cron","2022-11-07 11:10:24","2022-11-07 11:15:14","2022-11-07 11:20:27","313","1","0.0006792534722222223"
